Symbol,Company Name,Sector,Industry,Market Cap,Country
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,4600233000000.0,United States
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,3886887070000.0,United States
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,3861483370000.0,United States
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,3805351488000.0,United States
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,2854189047942.0,United States
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,2579837464062.0,United States
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,1797990242874.0,United States
META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,1605078828572.0,United States
TSLA,Tesla Inc. Common Stock,Industrials,Auto Manufacturing,1322432079801.0,United States
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,993122179550.0,United States
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components,578203581033.0,Netherlands
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,481046236795.0,United States
NFLX,Netflix Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains,435558247394.0,United States
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,435156593859.0,United States
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,402416520821.0,United States
LRCX,Lam Research Corporation Common Stock,Technology,Industrial Machinery/Components,333821463720.0,United States
INTC,Intel Corporation Common Stock,Technology,Semiconductors,326768546769.0,United States
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,Computer Communications Equipment,325273692009.0,United States
PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,316453082015.0,United States
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors,314055232668.0,United States
LIN,Linde plc Ordinary Shares,Basic Materials,Major Chemicals,235807384164.0,United States
KLAC,KLA Corporation Common Stock,Technology,Electronic Components,231845688005.0,United States
PEP,PepsiCo Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),213078757624.0,United States
TMUS,T-Mobile US Inc. Common Stock,Telecommunications,Telecommunications Equipment,212031446866.0,United States
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors,197306518430.0,United States
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),188792782659.0,United States
GILD,Gilead Sciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),172594696008.0,United States
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors,170876336992.0,United States
ISRG,Intuitive Surgical Inc. Common Stock,Health Care,Industrial Specialties,162990573574.0,United States
SHOP,Shopify Inc. Class A Subordinate Voting Shares,Technology,Computer Software: Prepackaged Software,149933684554.0,Canada
HON,Honeywell International Inc. Common Stock,Industrials,Aerospace,148519270782.0,United States
APP,Applovin Corporation Class A Common Stock,Technology,Computer Software: Programming Data Processing,140796701100.0,United States
SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components,140589925830.0,United States
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services,140352514463.0,United States
QCOM,QUALCOMM Incorporated Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,140033080000.0,United States
PANW,Palo Alto Networks Inc. Common Stock,Technology,Computer peripheral equipment,132608160000.0,United States
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components,118717518768.0,United States
MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors,114816367569.0,United States
SNY,Sanofi ADS,Health Care,Biotechnology: Pharmaceutical Preparations,114528592856.0,France
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,111973785688.0,United States
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Electronic Components,111932543830.0,Ireland
SBUX,Starbucks Corporation Common Stock,Consumer Discretionary,Restaurants,111055267753.0,United States
CME,CME Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service,109056481068.0,United States
EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts,104229246001.0,United States
INTU,Intuit Inc. Common Stock,Technology,Computer Software: Prepackaged Software,102168632000.0,United States
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,102013731562.0,United States
CMCSA,Comcast Corporation Class A Common Stock,Telecommunications,Cable & Other Pay Television Services,100919580132.0,United States
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,97052462000.0,United States
MAR,Marriott International Class A Common Stock,Consumer Discretionary,Hotels/Resorts,95258947403.0,United States
MELI,MercadoLibre Inc. Common Stock,Real Estate,Real Estate,92873688621.0,Argentina
CEG,Constellation Energy Corporation Common Stock ,Utilities,Electric Utilities: Central,91398701308.0,United States
SNPS,Synopsys Inc. Common Stock,Technology,Computer Software: Prepackaged Software,80028868020.0,United States
CDNS,Cadence Design Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software,79569733998.0,United States
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Diversified Commercial Services,79327603007.0,United States
REGN,Regeneron Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,78915606387.0,United States
CSX,CSX Corporation Common Stock,Industrials,Railroads,78802113867.0,United States
ADP,Automatic Data Processing Inc. Common Stock,Industrials,Diversified Commercial Services,78668655838.0,United States
ORLY,O'Reilly Automotive Inc. Common Stock,Consumer Discretionary,Auto & Home Supply Stores,78658117363.0,United States
MDLZ,Mondelez International Inc. Class A Common Stock,Consumer Staples,Packaged Foods,74029776111.0,United States
MNST,Monster Beverage Corporation,Consumer Staples,Beverages (Production/Distribution),73509195674.0,United States
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central,73087545521.0,United States
ELVR,Elevra Lithium Limited American Depository Shares,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),71372199230.0,Australia
ROST,Ross Stores Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,71178633301.0,United States
CTAS,Cintas Corporation Common Stock,Industrials,Garments and Clothing,70287305066.0,United States
DASH,DoorDash Inc. Class A Common Stock,Technology,EDP Services,69338790043.0,United States
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,Consumer Discretionary,Services-Misc. Amusement & Recreation,67925269416.0,United States
MPWR,Monolithic Power Systems Inc. Common Stock,Technology,Semiconductors,67401193140.0,United States
PCAR,PACCAR Inc. Common Stock,Consumer Discretionary,Motor Vehicles,67035376482.0,United States
HOOD,Robinhood Markets Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service,64525102311.0,United States
LITE,Lumentum Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment,62202252000.0,United States
BKR,Baker Hughes Company Class A Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,62044339628.0,United States
MDLN,Medline Inc. Class A Common Stock,Health Care,Medical/Dental Instruments,62032602915.0,United States
FTNT,Fortinet Inc. Common Stock,Technology,Computer peripheral equipment,58261582925.0,United States
CRWV,CoreWeave Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,57967630426.0,United States
TER,Teradyne Inc. Common Stock,Industrials,Electrical Products,57947341086.0,United States
FANG,Diamondback Energy Inc. Common Stock,Energy,Oil & Gas Production,53196048143.0,United States
FAST,Fastenal Company Common Stock,Consumer Discretionary,RETAIL: Building Materials,52588130851.0,United States
NXPI,NXP Semiconductors N.V. Common Stock,Technology,Semiconductors,52560111760.0,Netherlands
FER,Ferrovial SE Ordinary Shares,Industrials,Military/Government/Technical,51376478070.0,Netherlands
EA,Electronic Arts Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,50691392105.0,United States
XEL,Xcel Energy Inc. Common Stock,Utilities,Power Generation,50213848427.0,United States
EXC,Exelon Corporation Common Stock,Utilities,Power Generation,49265880632.0,United States
NDAQ,Nasdaq Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,48971438194.0,United States
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software,47926540000.0,United States
COIN,Coinbase Global Inc. Class A Common Stock,Finance,Finance: Consumer Services,46089039246.0,United States
MSTR,Strategy Inc Common Stock Class A,Technology,Computer Software: Prepackaged Software,45742874387.0,United States
IDXX,IDEXX Laboratories Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,45643870986.0,United States
FITB,Fifth Third Bancorp Common Stock,Finance,Major Banks,45133284740.0,United States
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,44431494030.0,United States
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Consumer Staples,Beverages (Production/Distribution),44127092488.0,United Kingdom
EBAY,eBay Inc. Common Stock,Real Estate,Real Estate,43971200000.0,United States
PYPL,PayPal Holdings Inc. Common Stock,Industrials,Diversified Commercial Services,43740772390.0,United States
ESLT,Elbit Systems Ltd. Ordinary Shares,Industrials,Military/Government/Technical,43488177802.0,Israel
ODFL,Old Dominion Freight Line Inc. Common Stock,Industrials,Trucking Freight/Courier Services,43275411273.0,United States
